,cod_nf,cod_prod,cpf_c,email_c,contato_c,valor,quantidade
0,0000000000,SKU00995,849.092.489-94,rodrigoiagofernandomoraes-72@corp.globo.com,99735-6203,R$ 82,80
1,0000000001,SKU00073,007.572.712-94,isabelemilyluziamelo_@rebecacometerra.com.br,98888-6608,R$ 50,59
2,0000000002,SKU00574,984.933.928-47,sophiemelissarodrigues..sophiemelissarodrigues@panevale.com.br,98650-0987,R$ 54,98
3,0000000003,SKU00073,772.226.562-60,aarthurluizthalescosta@attglobal.net,99741-1297,R$ 68,83
4,0000000004,SKU00303,847.341.458-65,alineisabelalmeida__alineisabelalmeida@ideiaviva.com.br,99546-3478,R$ 92,100
5,0000000005,SKU00341,595.345.160-15,gabriellyfranciscacarolinamelo..gabriellyfranciscacarolinamelo@yahoo.co.uk,99533-7997,R$ 66,97
6,0000000006,SKU00538,427.701.027-02,elzaheloisecatarinadarosa..elzaheloisecatarinadarosa@tia.mat.br,98747-4458,R$ 72,70
7,0000000007,SKU00783,212.694.206-66,cclaudiarafaelasoniaoliveira@lvnonline.com.be,99302-6636,R$ 91,85
8,0000000008,SKU00868,630.762.538-40,hhadassaleticiasandraalmada@bds.com.br,99464-8458,R$ 51,98
9,0000000009,SKU00742,761.481.029-51,lucasviniciuscosta_@balloons.com.br,98534-5515,R$ 58,70
10,0000000010,SKU00531,065.309.131-14,reginamanuelagiovannacosta__reginamanuelagiovannacosta@gilbertorodrigues.com,99624-6199,R$ 55,50
11,0000000011,SKU00545,348.803.466-67,antoniaisabelaestherfernandes__antoniaisabelaestherfernandes@engenharia.ufjf.br,98834-5177,R$ 96,64
12,0000000012,SKU00424,921.632.816-98,liviamayanunes-87@akto.com.br,99740-1818,R$ 77,100
13,0000000013,SKU00430,478.388.033-65,rosayasmintatianecarvalho-78@mundivox.com.br,98309-0827,R$ 58,61
14,0000000014,SKU00195,557.502.654-04,vvanessafabianacortereal@konekoshouten.com.br,99902-6971,R$ 99,98
15,0000000015,SKU00586,571.305.157-91,llizmariahantonellacarvalho@zipmail.com,99751-7576,R$ 72,89
16,0000000016,SKU00691,930.043.086-65,lucasisaacsilveira__lucasisaacsilveira@icloud.con,98895-5169,R$ 54,56
17,0000000017,SKU00965,916.538.228-56,pietrokaiquedapaz_@ceuazul.ind.br,99824-8239,R$ 54,100
18,0000000018,SKU00929,698.749.186-08,iagoarthurdamota__iagoarthurdamota@plani.com.br,98866-5873,R$ 72,58
19,0000000019,SKU00938,169.240.069-06,nataliafatimaleticiacaldeira-81@globomail.com,99662-2129,R$ 70,84
20,0000000020,SKU00523,608.768.447-60,aagathabiancacavalcanti@findout.com.br,99658-1439,R$ 70,92
21,0000000021,SKU00333,660.727.185-58,barbaramariatatianenascimento..barbaramariatatianenascimento@mavex.com.br,99735-0216,R$ 90,79
22,0000000022,SKU00616,534.969.802-81,rrebecacamilamirellagomes@hotmail.co.jp,99749-6373,R$ 77,73
23,0000000023,SKU00857,890.998.519-44,eduardafabianaluziaaraujo__eduardafabianaluziaaraujo@hotmail.com,98241-9799,R$ 71,63
24,0000000024,SKU00696,543.363.182-63,bernardoguilhermedaluz__bernardoguilhermedaluz@videoaction.com.br,98959-8136,R$ 93,67
25,0000000025,SKU00097,383.741.684-47,ppietraantoniaauroraassuncao@live.co.uk,98808-5713,R$ 59,71
26,0000000026,SKU00725,597.413.388-99,yagokaiquepedropeixoto..yagokaiquepedropeixoto@pichler.com.br,98723-2920,R$ 65,98
27,0000000027,SKU00147,146.386.023-47,arthurgaelantoniosouza_@eguia.com.br,98308-1252,R$ 58,59
28,0000000028,SKU00342,829.200.184-00,otaviokaiquehenriquecavalcanti..otaviokaiquehenriquecavalcanti@centrovias.com.br,99797-8564,R$ 92,88
29,0000000029,SKU00760,296.347.392-37,mmateusclaudiobarros@seraobenedito.com.br,99590-2776,R$ 69,65
30,0000000030,SKU00255,020.447.487-62,mmarcelogabrielpinto@machina8.com.br,98943-1634,R$ 75,97
31,0000000031,SKU00438,774.218.703-50,oolivergustavojoaocardoso@machina8.com.br,98661-2827,R$ 62,56
32,0000000032,SKU00209,728.209.956-16,sebastianaisabelleanalugoncalves_@murosterrae.com.br,98365-7760,R$ 89,70
33,0000000033,SKU00199,451.568.364-02,erickcalebesantos__erickcalebesantos@resource.com.br,98815-6432,R$ 94,90
34,0000000034,SKU00245,189.874.726-12,danilovictorsamueldarosa-98@recantoalmeida.com.br,99406-9707,R$ 63,50
35,0000000035,SKU00749,174.513.471-92,mariahsilvanadaianedacosta__mariahsilvanadaianedacosta@deltaturismo.com.br,98302-8672,R$ 63,68
36,0000000036,SKU00423,899.357.784-60,alexandrebernardotheoporto_@negocios-de-valor.com,98524-9249,R$ 60,68
37,0000000037,SKU00632,581.810.377-31,llizteresinhalima@eletrovip.com,98330-1857,R$ 74,96
38,0000000038,SKU00947,602.220.870-05,isabelstefanykamillydacunha_@depotit.com.br,99798-1092,R$ 92,83
39,0000000039,SKU00112,899.306.157-25,caiovitorthiagosouza..caiovitorthiagosouza@lctour.com.br,99882-1868,R$ 76,54
40,0000000040,SKU00479,069.960.177-00,giovannileandrodossantos..giovannileandrodossantos@vegacon.com.br,99886-4681,R$ 53,91
41,0000000041,SKU00104,872.191.074-04,geraldomarceloaraujo-75@tce.am.gov.br,98241-4646,R$ 86,62
42,0000000042,SKU00234,671.164.341-00,marliluanalaisdamata_@madhause.com.br,99842-8062,R$ 80,90
43,0000000043,SKU00328,039.574.706-68,leticiaisabellaclariceassis_@accent.com.br,99398-4259,R$ 91,86
44,0000000044,SKU00686,629.525.815-84,laviniatatianesouza..laviniatatianesouza@lojascentrodamoda.com.br,99307-8365,R$ 62,68
45,0000000045,SKU00439,558.132.031-41,alessandraoliviamariacastro__alessandraoliviamariacastro@alanamaral.com.br,99395-4502,R$ 81,97
46,0000000046,SKU00439,656.805.214-07,patriciarebecadaconceicao-94@plenamenterh.com.br,98202-0676,R$ 53,99
47,0000000047,SKU00205,110.234.167-35,vicenterafaelcauadamata..vicenterafaelcauadamata@cenavip.com.br,98980-2719,R$ 64,81
48,0000000048,SKU00538,561.180.540-02,caleberuanluispeixoto-76@embraer.com.br,98735-2518,R$ 59,90
49,0000000049,SKU00311,470.346.180-38,cauefranciscofigueiredo-85@jerasistemas.com.br,99778-6132,R$ 58,50
50,0000000050,SKU00946,285.902.344-52,claricelizlauramoreira_@jeffersonbarroso.com.br,99869-0958,R$ 78,97
51,0000000051,SKU00623,287.006.865-49,danielaisabellenicoledasilva__danielaisabellenicoledasilva@pp33.com.br,98125-0379,R$ 54,54
52,0000000052,SKU00482,964.538.373-07,diogocesarbryancaldeira__diogocesarbryancaldeira@arosacampinas.com.br,98841-2823,R$ 92,83
53,0000000053,SKU00005,380.878.182-37,felipeyagodapaz_@acesse.net,98542-8060,R$ 80,52
54,0000000054,SKU00690,221.046.139-14,eerickheitorferreira@yahoo.de,98465-2056,R$ 87,91
55,0000000055,SKU00122,687.283.147-27,danielamariahduarte-78@lineubravo.com.br,98754-1751,R$ 75,99
56,0000000056,SKU00225,950.967.113-40,brendadaianemaitedasilva__brendadaianemaitedasilva@scalioni.com.br,98409-4700,R$ 56,86
57,0000000057,SKU00057,553.922.810-36,marciothalesnovaes-90@novaface.com.br,99223-1568,R$ 69,68
58,0000000058,SKU00354,408.771.280-06,kamillymelissasimonebarros_@recnev.com.br,99117-2705,R$ 56,53
59,0000000059,SKU00187,382.375.744-00,marianasarahdias..marianasarahdias@etep.edu.br,99207-4927,R$ 94,80
60,0000000060,SKU00858,160.127.654-01,cesarjorgeaugustofernandes__cesarjorgeaugustofernandes@alcastro.com.br,99187-4585,R$ 66,60
61,0000000061,SKU00367,064.965.474-91,raquelreginalopes..raquelreginalopes@tonyveiculos.com.br,99647-0948,R$ 63,55
62,0000000062,SKU00647,914.357.881-09,amandamariahvieira_@ynail.com.br,99915-4214,R$ 100,99
63,0000000063,SKU00715,312.605.437-49,levimanuelmelo_@andrelam.com.br,99786-6338,R$ 63,64
64,0000000064,SKU00265,405.016.250-46,giovannafranciscaisabelaalves-79@dcabr.org.br,98294-0136,R$ 62,87
65,0000000065,SKU00710,950.092.401-30,luanamarianaalicedasneves__luanamarianaalicedasneves@ecotransambiental.com.br,99473-2659,R$ 57,61
66,0000000066,SKU00779,473.720.908-22,eduardaaliciaaurorarodrigues__eduardaaliciaaurorarodrigues@santacasasjc.com.br,99514-6619,R$ 65,70
67,0000000067,SKU00384,326.782.996-86,ccamilaisabelleaparecidamoreira@fixacomunicacao.com.br,99204-9106,R$ 84,78
68,0000000068,SKU00169,501.264.398-42,osvaldoheitorleonardoviana-96@iega.com.br,98264-0937,R$ 61,70
69,0000000069,SKU00672,740.896.338-34,ddanilonelsonmoraes@yahool.com.br,99966-1947,R$ 57,73
70,0000000070,SKU00978,075.238.072-91,llizcamilaalmeida@raffinimobiliario.com.br,99820-2426,R$ 81,53
71,0000000071,SKU00047,721.795.362-67,iisabellajenniferdaluz@compuativa.com.br,99299-9191,R$ 54,89
72,0000000072,SKU00891,443.840.108-93,mariahbrunaaparicio-90@dillon.com.br,99307-2257,R$ 57,83
73,0000000073,SKU00158,465.129.540-17,luisheitorjesus..luisheitorjesus@systrix.com.br,99198-8850,R$ 72,95
74,0000000074,SKU00382,070.155.272-78,vvictortheoenzodapaz@qualita.srv.br,98910-4609,R$ 82,71
